state, state_code, division_code, division, country_code, country
Lazio,,Intl,International,IT,Italy
Uusimaa,,Intl,International,FI,Finland
Adjuntas,,Intl,International,PR,Puerto Rico
Cabo Rojo,,Intl,International,PR,Puerto Rico
Ciales,,Intl,International,PR,Puerto Rico
Florida,,Intl,International,PR,Puerto Rico
Mayaguez,,Intl,International,PR,Puerto Rico
Yauco,,Intl,International,PR,Puerto Rico
Arroyo,,Intl,International,PR,Puerto Rico
Canovanas,,Intl,International,PR,Puerto Rico
Cidra,,Intl,International,PR,Puerto Rico
San Lorenzo,,Intl,International,PR,Puerto Rico
Loiza,,Intl,International,PR,Puerto Rico
Barranquitas,,Intl,International,PR,Puerto Rico
Vi,,Intl,International,VI,"Virgin Islands, U.S."
Žilinský kraj,,Intl,International,SK,Slovakia
Perlis,,Intl,International,MY,Malaysia
Pais Vasco,,Intl,International,ES,Spain
Distrito Federal,,Intl,International,MX,Mexico
Northland,,Intl,International,NZ,New Zealand
Aomori Ken,,Intl,International,JP,Japan
Chlef,,Intl,International,DZ,Algeria
L.Aghouat,,Intl,International,DZ,Algeria
Afyonkarahisar,,Intl,International,TR,Turkey
Thüringen,,Intl,International,DE,Germany
Amasya,,Intl,International,TR,Turkey
DEPTO DE ESCUINTLA,,Intl,International,GT,Guatemala
Sao Paulo,,Intl,International,BR,Brazil
Ankara,,Intl,International,TR,Turkey
Baleares,,Intl,International,ES,Spain
Sardegna,,Intl,International,IT,Italy
Giurgiu,,Intl,International,RO,Romania
Occitanie,,Intl,International,FR,France
Warmia-Masuria,,Intl,International,PL,Poland
Tokyo To,,Intl,International,JP,Japan
Dhaka Division,,Intl,International,BD,Bangladesh
Lisboa,,Intl,International,PT,Portugal
경기도,,Intl,International,KR,"Korea, Republic of"
Norhern Punajb Rawal,,Intl,International,PK,Pakistan
Pulau Pinang,,Intl,International,MY,Malaysia
Budapest,,Intl,International,HU,Hungary
Berlin,,Intl,International,DE,Germany
Zagrebačka,,Intl,International,HR,Croatia
Wien,,Intl,International,AT,Austria
Silesia,,Intl,International,PL,Poland
Tamanrasset,,Intl,International,DZ,Algeria
Bilecik,,Intl,International,TR,Turkey
Noord-Holland,,Intl,International,NL,Netherlands
Liguria,,Intl,International,IT,Italy
Bitlis,,Intl,International,TR,Turkey
Bolivar,,Intl,International,CO,Colombia
DEPTO DE HUEHUETENAN,,Intl,International,GT,Guatemala
Phranakhon Si Ayutth,,Intl,International,TH,Thailand
Chernihivska,,Intl,International,UA,Ukraine
Московская,,Intl,International,RU,Russian Federation
Teleorman,,Intl,International,RO,Romania
Utrecht,,Intl,International,NL,Netherlands
Ярославска,,Intl,International,RU,Russian Federation
Østfold fylke,,Intl,International,NO,Norway
Ивановская,,Intl,International,RU,Russian Federation
Canton de Berne,,Intl,International,CH,Switzerland
Nouvelle-Aquitaine,,Intl,International,FR,France
Buenos Aires,,Intl,International,AR,Argentina
Архангельс,,Intl,International,RU,Russian Federation
Тверская О,,Intl,International,RU,Russian Federation
Himachal Pradesh,,Intl,International,IN,India
Región de Coquimbo,,Intl,International,CL,Chile
Псковская ,,Intl,International,RU,Russian Federation
DEPTO DE IZABAL,,Intl,International,GT,Guatemala
Мурманская,,Intl,International,RU,Russian Federation
Ленинградс,,Intl,International,RU,Russian Federation
Skåne,,Intl,International,SE,Sweden
Aguascalientes,,Intl,International,MX,Mexico
Cesar,,Intl,International,CO,Colombia
DEPTO DE CHIQUIMULA,,Intl,International,GT,Guatemala
Hamburg,,Intl,International,DE,Germany
Vlaanderen,,Intl,International,BE,Belgium
Setúbal,,Intl,International,PT,Portugal
Skikda,,Intl,International,DZ,Algeria
Vinnytska,,Intl,International,UA,Ukraine
Grodno,,Intl,International,BY,Belarus
Splitsko-Dalmatinska,,Intl,International,HR,Croatia
Bretagne,,Intl,International,FR,France
Mehedinţi,,Intl,International,RO,Romania
Edirne,,Intl,International,TR,Turkey
Ålands landsbygd,,Intl,International,AX,Åland Islands
Перник / Perni,,Intl,International,BG,Bulgaria
Jura,,Intl,International,CH,Switzerland
Rio de Janeiro ,,Intl,International,BR,Brazil
Guelma,,Intl,International,DZ,Algeria
Burgenland,,Intl,International,AT,Austria
Coahuila de Zaragoza,,Intl,International,MX,Mexico
Кюстендил /,,Intl,International,BG,Bulgaria
Łódź Voivodeship,,Intl,International,PL,Poland
Nakhon Nayok,,Intl,International,TH,Thailand
Selangor,,Intl,International,MY,Malaysia
Благоевгра,,Intl,International,BG,Bulgaria
Rocha,,Intl,International,UY,Uruguay
Giresun,,Intl,International,TR,Turkey
Chiapas,,Intl,International,MX,Mexico
Ida-Viru maakond,,Intl,International,EE,Estonia
Victoria,,Intl,International,AU,Australia
Nakhon Ratchasima,,Intl,International,TH,Thailand
Minas Gerais,,Intl,International,BR,Brazil
Hedmark,,Intl,International,NO,Norway
Veneto,,Intl,International,IT,Italy
Bay of Plenty,,Intl,International,NZ,New Zealand
Орловская ,,Intl,International,RU,Russian Federation
Finnmark,,Intl,International,NO,Norway
Chihuahua,,Intl,International,MX,Mexico
Osječko-Baranjska,,Intl,International,HR,Croatia
Hatay,,Intl,International,TR,Turkey
Souhern Punajb Mulan,,Intl,International,PK,Pakistan
Vukovarsko-Srijemska,,Intl,International,HR,Croatia
Illizi,,Intl,International,DZ,Algeria
Friuli-Venezia Giuli,,Intl,International,IT,Italy
Sisaket,,Intl,International,TH,Thailand
Región del Maule,,Intl,International,CL,Chile
Chittagong,,Intl,International,BD,Bangladesh
Durango,,Intl,International,MX,Mexico
Ubon Ratchathani,,Intl,International,TH,Thailand
Na Tan,,Intl,International,TH,Thailand
Boumerdes,,Intl,International,DZ,Algeria
Canarias,,Intl,International,ES,Spain
Kalmar,,Intl,International,SE,Sweden
Gujarat,,Intl,International,IN,India
Северная О,,Intl,International,RU,Russian Federation
Пловдив / Plo,,Intl,International,BG,Bulgaria
Карачаево-,,Intl,International,RU,Russian Federation
Kastamonu,,Intl,International,TR,Turkey
Tissemsilt,,Intl,International,DZ,Algeria
Адыгея Рес,,Intl,International,RU,Russian Federation
Niigata Ken,,Intl,International,JP,Japan
Manawatu-Wanganui,,Intl,International,NZ,New Zealand
Dadra & Nagar Haveli,,Intl,International,IN,India
Hajdú-Bihar,,Intl,International,HU,Hungary
Kirşehir,,Intl,International,TR,Turkey
Cluj,,Intl,International,RO,Romania
Provincia de Heredia,,Intl,International,CR,Costa Rica
Bihor,,Intl,International,RO,Romania
대구광역시,,Intl,International,KR,"Korea, Republic of"
Catamarca,,Intl,International,AR,Argentina
Opole Voivodeship,,Intl,International,PL,Poland
Bistriţa-Năsăud,,Intl,International,RO,Romania
Марий Эл Ре,,Intl,International,RU,Russian Federation
Maramureş,,Intl,International,RO,Romania
Zeeland,,Intl,International,NL,Netherlands
Kanton Aargau,,Intl,International,CH,Switzerland
Lääne-Viru maakond,,Intl,International,EE,Estonia
Malatya,,Intl,International,TR,Turkey
울산광역시,,Intl,International,KR,"Korea, Republic of"
Maha Sarakham,,Intl,International,TH,Thailand
Naama,,Intl,International,DZ,Algeria
Tacuarembo,,Intl,International,UY,Uruguay
Челябинска,,Intl,International,RU,Russian Federation
Kahramanmaraş,,Intl,International,TR,Turkey
Karlovačka,,Intl,International,HR,Croatia
Mardin,,Intl,International,TR,Turkey
Koprivničko-Križev,,Intl,International,HR,Croatia
Mukdahan,,Intl,International,TH,Thailand
Mie Ken,,Intl,International,JP,Japan
Rangpur Division,,Intl,International,BD,Bangladesh
Nevşehir,,Intl,International,TR,Turkey
Meta,,Intl,International,CO,Colombia
Vestfold,,Intl,International,NO,Norway
Andhra Pradesh,,Intl,International,IN,India
Región de los Ríos,,Intl,International,CL,Chile
Lamphun,,Intl,International,TH,Thailand
Lampang,,Intl,International,TH,Thailand
Melilla,,Intl,International,ES,Spain
Osaka Fu,,Intl,International,JP,Japan
Ličko-Senjska,,Intl,International,HR,Croatia
Rheinland-Pfalz,,Intl,International,DE,Germany
Mureş,,Intl,International,RO,Romania
Örebro,,Intl,International,SE,Sweden
Siirt,,Intl,International,TR,Turkey
전라남도,,Intl,International,KR,"Korea, Republic of"
Mae Hong Son,,Intl,International,TH,Thailand
Chernivetska,,Intl,International,UA,Ukraine
Tekirdağ,,Intl,International,TR,Turkey
Castelo Branco,,Intl,International,PT,Portugal
Bacău,,Intl,International,RO,Romania
South Ostrobothnia R,,Intl,International,FI,Finland
Portalegre,,Intl,International,PT,Portugal
Kharkivska,,Intl,International,UA,Ukraine
Uthai Thani,,Intl,International,TH,Thailand
Neamţ,,Intl,International,RO,Romania
Пермский К,,Intl,International,RU,Russian Federation
Ceara,,Intl,International,BR,Brazil
Tunceli,,Intl,International,TR,Turkey
Vrancea,,Intl,International,RO,Romania
Põlva maakond,,Intl,International,EE,Estonia
Nayarit,,Intl,International,MX,Mexico
Новосибирс,,Intl,International,RU,Russian Federation
Tak,,Intl,International,TH,Thailand
Nuevo León,,Intl,International,MX,Mexico
Курганская,,Intl,International,RU,Russian Federation
Алтай Респ,,Intl,International,RU,Russian Federation
Кемеровска,,Intl,International,RU,Russian Federation
Kanton Graubünden,,Intl,International,CH,Switzerland
Csongrád,,Intl,International,HU,Hungary
Zonguldak,,Intl,International,TR,Turkey
Бурятия Ре,,Intl,International,RU,Russian Federation
Central Ostrobothnia,,Intl,International,FI,Finland
,,Intl,International,RU,Russian Federation
Tottori Ken,,Intl,International,JP,Japan
North Ostrobothnia R,,Intl,International,FI,Finland
Shimane Ken,,Intl,International,JP,Japan
Bayburt,,Intl,International,TR,Turkey
Viljandi maakond,,Intl,International,EE,Estonia
Okayama Ken,,Intl,International,JP,Japan
Colonia,,Intl,International,UY,Uruguay
Iaşi,,Intl,International,RO,Romania
Khulna Division,,Intl,International,BD,Bangladesh
Tasman,,Intl,International,NZ,New Zealand
Soriano,,Intl,International,UY,Uruguay
Botoşani,,Intl,International,RO,Romania
Hiroshima Ken,,Intl,International,JP,Japan
Suceava,,Intl,International,RO,Romania
Somogy,,Intl,International,HU,Hungary
Samut Sakhon,,Intl,International,TH,Thailand
Andaman & Nicobar Is,,Intl,International,IN,India
Ardahan,,Intl,International,TR,Turkey
Île-de-France,,Intl,International,FR,France
Odisha,,Intl,International,IN,India
Добрич / Dobri,,Intl,International,BG,Bulgaria
Ivano-Frankivska,,Intl,International,UA,Ukraine
Tokushima Ken,,Intl,International,JP,Japan
Tocantins,,Intl,International,BR,Brazil
Yalova,,Intl,International,TR,Turkey
Karabük,,Intl,International,TR,Turkey
West Coast,,Intl,International,NZ,New Zealand
Gävleborg,,Intl,International,SE,Sweden
Arunachal Pradesh,,Intl,International,IN,India
Mato Grosso do Sul,,Intl,International,BR,Brazil
Tripura,,Intl,International,IN,India
Mazovia,,Intl,International,PL,Poland
Kanta-Häme,,Intl,International,FI,Finland
Hokkaido,,Intl,International,JP,Japan
,,Intl,International,LK,Sri Lanka
Dorado,,Intl,International,PR,Puerto Rico
Hormigueros,,Intl,International,PR,Puerto Rico
Moca,,Intl,International,PR,Puerto Rico
Aibonito,,Intl,International,PR,Puerto Rico
Patillas,,Intl,International,PR,Puerto Rico
Fajardo,,Intl,International,PR,Puerto Rico
Naguabo,,Intl,International,PR,Puerto Rico
Villalba,,Intl,International,PR,Puerto Rico
Gurabo,,Intl,International,PR,Puerto Rico
Guayanilla,,Intl,International,PR,Puerto Rico
Toa Baja,,Intl,International,PR,Puerto Rico
Guaynabo,,Intl,International,PR,Puerto Rico
Carolina,,Intl,International,PR,Puerto Rico
Auvergne-Rhône-Alpe,,Intl,International,FR,France
Bucureşti,,Intl,International,RO,Romania
DEPTO DE GUATEMALA,,Intl,International,GT,Guatemala
Trenčiansky kraj,,Intl,International,SK,Slovakia
Iwate Ken,,Intl,International,JP,Japan
DEPTO DE EL PROGRESO,,Intl,International,GT,Guatemala
DEPTO DE SACATEPEQUE,,Intl,International,GT,Guatemala
,,Intl,International,PH,Philippines
Provence-Alpes-Côte,,Intl,International,FR,France
DEPTO DE CHIMALTENAN,,Intl,International,GT,Guatemala
Kedah,,Intl,International,MY,Malaysia
Umbria,,Intl,International,IT,Italy
Lubusz,,Intl,International,PL,Poland
DEPTO DE SANTA ROSA,,Intl,International,GT,Guatemala
Biskra,,Intl,International,DZ,Algeria
Kyivska,,Intl,International,UA,Ukraine
Pomerania,,Intl,International,PL,Poland
Grand Est,,Intl,International,FR,France
DEPTO DE TOTONICAPAN,,Intl,International,GT,Guatemala
Northern Territory,,Intl,International,AU,Australia
Western Australia,,Intl,International,AU,Australia
DEPTO DE QUETZALTENA,,Intl,International,GT,Guatemala
Stockholm,,Intl,International,SE,Sweden
,,Intl,International,MK,"Macedonia, the former Yugoslav Republic of"
DEPTO DE SUCHITEPEQU,,Intl,International,GT,Guatemala
Zhytomyrska,,Intl,International,UA,Ukraine
Bangkok,,Intl,International,TH,Thailand
,,Intl,International,DO,Dominican Republic
Federal Capial &AJK,,Intl,International,PK,Pakistan
DEPTO DE RETALHULEU,,Intl,International,GT,Guatemala
"Bogota, D.C.",,Intl,International,CO,Colombia
Región de Tarapacá,,Intl,International,CL,Chile
Bingöl,,Intl,International,TR,Turkey
DEPTO DE SAN MARCOS,,Intl,International,GT,Guatemala
Haryana,,Intl,International,IN,India
Wallonie,,Intl,International,BE,Belgium
,,Intl,International,SE,Sweden
DEPTO DEL QUICHE,,Intl,International,GT,Guatemala
